,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
62,5006,4705,2672,1554,1118,53,033,006300,53033006300,4047,638,336,270,123,1035,344,179,58,617700,1069,2673,75034,112,70,161,126,94,144,108,96,73,186,166,372,136,132,210,487
63,3201,2647,1257,940,317,53,033,006400,53033006400,2369,399,228,193,96,419,340,132,48,491000,959,1257,88834,62,43,38,25,24,47,24,41,53,69,123,143,127,127,96,215
64,4045,3488,2290,923,1367,53,033,006500,53033006500,3197,648,322,149,112,597,311,56,92,472800,769,2290,52838,82,31,107,130,180,151,127,151,125,191,179,227,134,174,84,217
65,2954,2457,1834,448,1386,53,033,006600,53033006600,2430,702,86,102,29,541,117,68,28,350000,786,1807,47440,54,74,74,123,99,160,145,114,87,149,193,190,138,36,43,128
66,5369,4537,3195,1140,2055,53,033,006700,53033006700,4518,899,345,93,29,957,326,57,0,252200,849,3196,54115,91,102,140,159,299,221,236,142,93,343,340,408,236,91,74,221
67,2646,2381,1227,670,557,53,033,006800,53033006800,2124,376,180,114,18,379,231,51,28,405700,797,1251,69440,18,52,58,42,64,37,44,72,35,103,123,191,160,80,102,70
68,3845,3406,2081,1029,1052,53,033,006900,53033006900,3102,555,170,114,36,710,300,128,30,420100,768,2089,61540,62,72,31,159,107,97,166,108,78,130,240,302,159,98,87,193
69,6855,5867,4844,998,3846,53,033,007000,53033007000,5957,1149,274,206,58,1354,422,109,73,269000,723,4833,40531,441,234,307,333,401,309,352,249,330,417,386,432,240,122,81,199
70,1809,1484,1302,245,1057,53,033,007100,53033007100,1497,262,76,50,15,279,87,20,26,197800,711,1327,35659,113,81,95,80,85,195,83,106,21,93,175,96,37,21,32,14
71,3084,2349,2150,207,1943,53,033,007200,53033007200,2066,368,90,75,33,365,103,25,10,143800,706,2062,27462,378,212,159,217,165,150,149,30,130,87,139,148,15,30,28,25
72,2218,1289,1035,8,1027,53,033,007300,53033007300,1813,178,30,0,0,134,12,0,0,0,566,1005,21605,261,90,43,231,104,58,44,32,32,33,42,16,11,0,0,8
73,8932,6870,6328,952,5376,53,033,007400,53033007400,7356,1567,325,152,135,1147,322,46,55,170800,708,6436,32389,844,457,358,630,564,541,475,450,386,546,509,323,180,43,81,49
74,5554,4321,3647,391,3256,53,033,007500,53033007500,4558,751,306,84,31,878,207,58,34,278600,670,3642,31233,493,309,251,394,267,329,336,225,189,265,203,196,57,42,43,43
75,3261,2319,1752,504,1248,53,033,007600,53033007600,2542,413,166,77,44,476,242,46,33,267600,707,1751,37534,219,142,115,115,100,123,98,132,32,208,97,106,100,60,60,44
