,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
6390,06071002100,06,071,2100,19255,7274,19255,11018,947,1512,2554,3388,1079,1209,7274,156,407,313,329,251,277,428,226,347,265,395,303,445,344,380,166,348,182,431,258,582,305,88,26,34505,7257,3297,652,127300
6391,06071002201,06,071,2201,10038,3177,10038,5746,197,466,1557,1750,646,931,3177,54,66,35,4,30,74,53,49,105,67,99,78,179,91,128,161,176,148,354,209,608,307,65,28,49856,3110,2573,909,161500
6392,06071002202,06,071,2202,5407,1643,5407,2940,514,608,880,565,165,157,1643,93,115,31,63,95,18,78,70,111,76,184,47,59,37,52,78,65,41,72,65,122,58,7,0,30971,1651,686,644,126000
6393,06071002300,06,071,2300,18830,5227,18830,10257,1011,1632,3230,2499,881,778,5227,105,299,149,92,156,104,147,187,190,165,269,206,299,86,262,188,365,187,355,309,710,335,49,13,41522,5257,4387,649,138600
6394,06071002400,06,071,2400,10573,2803,10573,5246,1183,1388,1273,963,216,162,2803,84,165,134,87,179,111,123,132,250,46,117,96,256,170,150,142,35,113,108,41,128,92,22,14,31934,2903,1765,578,98000
6395,06071002500,06,071,2500,8635,2225,8635,4565,710,1011,1154,1107,381,165,2225,129,133,122,151,38,112,33,83,105,89,111,88,84,124,101,73,75,70,147,92,162,76,27,0,32685,2217,1645,564,111900
6396,06071002600,06,071,2600,18392,5501,18392,10115,931,1409,2746,2845,846,1013,5501,242,168,59,103,145,136,161,185,195,170,263,140,299,155,324,189,253,264,503,366,721,294,98,38,42573,5542,4345,615,148400
6397,06071002700,06,071,2700,12331,3329,12331,7192,384,1014,1945,1929,653,896,3329,39,153,41,30,74,43,48,77,63,73,132,103,99,137,152,82,215,107,355,218,437,400,152,68,49918,3270,2995,898,155200
6398,06071002800,06,071,2800,11256,3180,11256,5166,938,1079,1523,1175,185,167,3180,188,382,300,125,135,153,158,89,157,194,103,108,174,88,92,87,65,77,98,73,223,66,25,11,25955,3219,1179,585,112900
6399,06071002900,06,071,2900,7928,2518,7928,4528,442,840,1597,1007,365,195,2518,98,266,46,96,57,98,57,83,127,155,133,90,129,73,133,100,129,101,125,77,217,93,18,0,33694,2460,1506,597,113600
6400,06071003000,06,071,3000,1897,692,1897,1059,146,249,320,227,80,18,692,60,120,48,45,11,13,23,39,16,15,54,23,30,10,24,0,15,7,34,31,39,28,7,0,24167,769,301,489,96600
6401,06071003100,06,071,3100,8337,2480,8337,4260,547,1005,1208,909,350,192,2480,153,308,87,47,63,185,93,130,188,142,79,56,123,73,95,44,75,76,108,70,149,112,14,10,27314,2515,1023,551,105700
6402,06071003200,06,071,3200,6265,2088,6265,3728,248,728,1268,926,215,276,2088,78,180,87,55,56,91,84,89,76,55,127,65,49,65,104,95,67,47,123,110,160,160,56,0,35051,2078,1531,572,124300
6403,06071003300,06,071,3300,8927,3135,8927,5181,663,1374,1594,950,314,168,3135,116,376,297,112,189,156,178,150,113,89,212,135,126,49,116,72,96,71,78,53,200,109,14,28,24892,3154,1595,540,116200
6404,06071003400,06,071,3400,14046,4588,14046,8088,833,2091,2424,1855,341,331,4588,231,426,64,168,209,220,196,152,275,194,259,124,287,234,161,140,198,184,157,224,324,133,11,0,31535,4593,2956,618,108400
6405,06071003501,06,071,3501,12097,3379,12097,6269,593,1270,1445,1902,526,397,3379,151,244,142,138,120,133,158,158,160,74,134,188,90,139,80,110,114,104,252,156,319,135,46,25,33531,3409,2223,536,115100
6406,06071003502,06,071,3502,13925,3809,13925,6967,525,1226,2153,1826,578,524,3809,179,339,162,151,113,121,145,96,163,93,162,129,228,125,169,98,148,130,284,185,335,228,17,0,35565,3872,2405,589,125200
6407,06071003601,06,071,3601,14345,4695,14345,8307,748,1223,2541,2222,682,732,4695,208,361,211,85,224,114,151,134,218,102,261,219,293,122,273,203,221,100,366,175,403,186,27,29,35508,4605,3153,580,115000
6408,06071003602,06,071,3602,10586,3076,10586,5705,819,1247,1430,1316,376,334,3076,120,127,106,76,106,89,124,88,153,90,124,130,95,105,174,111,113,197,251,122,389,127,40,10,40072,3037,2560,633,125900
6409,06071003700,06,071,3700,2926,1072,2926,1761,356,441,396,366,135,59,1072,81,227,55,76,59,16,63,44,58,32,46,32,38,52,41,9,7,25,35,37,15,24,0,0,20873,1122,342,493,80700
6410,06071003800,06,071,3800,11302,3464,11302,6654,276,1027,1832,1903,721,614,3464,194,87,119,108,83,86,71,112,177,197,180,120,133,121,200,64,151,59,204,176,368,249,135,55,38843,3455,2707,564,123100
6411,06071003900,06,071,3900,4276,1440,4276,2617,363,663,739,498,186,86,1440,98,133,75,51,49,111,99,82,51,28,57,64,95,43,34,74,39,38,72,53,64,25,0,5,26078,1456,1197,644,89800
6412,06071004000,06,071,4000,10265,2839,10265,5655,749,1356,1561,1166,328,339,2839,132,229,70,99,75,48,216,139,96,99,193,73,144,87,225,62,146,73,152,102,217,124,31,0,33305,2811,2159,576,107000
6413,06071004100,06,071,4100,10816,2830,10816,5437,1145,1578,1401,981,176,145,2830,207,338,240,226,117,174,108,153,135,52,143,122,86,92,103,91,138,38,46,43,88,38,24,0,22582,2833,1699,533,74300
6414,06071004200,06,071,4200,10938,2978,10938,5562,1076,1535,1310,1133,332,116,2978,242,615,112,208,233,118,225,148,174,184,66,20,65,89,16,43,75,61,66,24,91,89,8,6,19174,2971,1689,437,73100
6415,06071004300,06,071,4300,7892,2023,7892,4266,1038,1036,1028,780,201,110,2023,107,261,91,90,129,120,85,73,166,61,92,36,57,70,68,52,64,53,82,105,111,50,0,0,25836,2046,1329,489,84600
6416,06071004400,06,071,4400,9895,3465,9895,5840,840,1340,1680,1086,459,318,3465,148,515,219,140,134,160,169,228,158,151,120,133,129,134,129,106,78,66,150,118,182,65,16,0,25309,3449,2732,374,109100
6417,06071004501,06,071,4501,6387,1991,6387,3709,82,277,1099,1096,432,555,1991,18,28,51,41,33,51,39,32,20,44,131,61,95,97,114,75,91,82,209,131,279,209,29,9,46799,1955,1554,610,135400
6418,06071004502,06,071,4502,14532,5264,14532,8582,463,1121,2331,2227,953,923,5264,263,514,224,164,305,161,235,153,147,293,178,205,256,251,247,127,148,130,291,239,372,203,87,36,32430,5268,2708,551,102400
6419,06071004601,06,071,4601,6653,2343,6653,3658,67,435,810,1116,325,670,2343,52,90,76,54,155,45,104,60,84,123,111,97,93,126,135,118,79,116,180,137,191,75,29,13,38046,2327,1226,636,116000
6420,06071004602,06,071,4602,8626,3343,8626,5180,244,898,1393,1286,506,483,3343,112,255,203,83,217,192,147,155,121,117,136,85,193,141,95,110,98,134,193,73,299,124,28,26,31278,3296,1959,556,91600
6421,06071004700,06,071,4700,5214,1471,5214,2718,732,880,611,275,158,42,1471,128,260,104,132,73,95,56,104,40,49,76,81,29,3,34,25,27,6,28,34,72,15,0,0,18513,1455,768,457,66500
6422,06071004800,06,071,4800,3216,837,3216,1601,640,526,290,89,27,23,837,90,179,50,42,63,38,34,52,27,26,41,12,54,34,28,11,0,9,19,15,10,3,0,0,17282,824,375,381,64700
6423,06071004900,06,071,4900,6596,1729,6596,3163,866,899,712,447,142,41,1729,168,238,173,91,80,50,78,71,71,83,116,91,40,27,66,19,34,55,22,32,59,65,0,0,22067,1782,721,440,72500
6424,06071005000,06,071,5000,1754,537,1754,993,193,269,267,146,74,37,537,34,100,57,24,47,16,39,25,11,19,23,34,9,14,0,27,5,6,34,5,5,3,0,0,18516,564,294,519,74900
6425,06071005100,06,071,5100,6582,2745,6582,4605,204,599,1318,1145,468,578,2745,108,196,123,115,162,139,83,143,71,76,127,99,107,118,159,49,48,42,137,110,192,156,99,33,33245,2743,1884,554,111100
6426,06071005200,06,071,5200,3186,1420,3186,2289,81,253,614,539,217,358,1420,33,47,59,85,96,99,56,36,39,45,44,73,80,18,73,53,66,57,71,38,123,59,12,0,34932,1397,937,535,101100
6427,06071005300,06,071,5300,4161,1670,4161,2596,144,404,747,714,233,262,1670,31,205,73,102,118,126,103,98,60,49,99,65,56,66,44,28,59,31,55,63,111,5,19,0,24464,1668,949,504,85800
6428,06071005400,06,071,5400,4920,1869,4920,2914,295,689,838,629,166,166,1869,166,381,139,103,167,116,98,94,115,48,89,26,41,36,51,18,31,29,33,12,40,21,8,7,17178,1829,707,437,79100
6429,06071005500,06,071,5500,7401,2491,7401,3586,624,896,941,658,233,108,2491,286,602,238,155,227,39,131,108,151,74,43,64,42,39,95,18,12,0,34,30,67,28,0,8,14427,2458,392,436,69500
