,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
684,4932,4744,1933,1380,553,39,103,415300,39103415300,3221,256,12,6,0,215,60,17,0,122900,670,1948,48056,75,38,58,145,122,188,161,104,146,252,234,285,101,19,14,6
685,4807,4600,1571,1376,195,39,103,415400,39103415400,3065,267,38,0,0,297,37,23,0,141900,651,1563,60688,38,71,65,62,52,71,58,78,64,217,241,342,107,62,23,12
686,3185,3069,1150,1012,138,39,103,415800,39103415800,2037,203,67,5,11,196,67,20,0,139600,675,1141,58281,40,19,52,46,35,24,84,55,72,160,204,179,63,75,33,0
687,5372,5177,1995,1446,549,39,103,416000,39103416000,3391,227,58,0,16,182,25,17,18,130600,639,1989,50736,98,77,92,93,86,97,141,121,168,177,325,364,76,42,10,22
688,4347,4210,1484,1392,92,39,103,416100,39103416100,2848,105,16,0,0,116,50,0,0,119300,686,1474,56467,42,62,58,34,70,36,99,83,112,208,289,234,86,19,42,0
689,2394,2237,948,495,453,39,103,416200,39103416200,1469,63,26,6,0,77,12,15,0,163300,526,929,39506,89,103,45,49,81,28,78,35,69,54,113,99,63,0,16,7
690,2785,2671,974,846,128,39,103,416300,39103416300,1816,193,50,9,14,180,39,5,0,150900,610,982,64318,31,25,20,15,31,55,79,31,55,93,238,128,91,68,22,0
691,3475,3349,1214,982,232,39,103,416400,39103416400,2219,142,39,5,0,155,39,21,0,137800,610,1220,53841,33,42,27,37,85,38,95,96,58,175,172,223,53,69,6,11
692,7480,7289,2936,2297,639,39,103,417000,39103417000,5054,498,153,55,30,460,128,48,0,132600,621,2922,52772,144,123,117,192,160,212,117,154,131,339,436,451,185,83,28,50
693,5840,5724,2245,1937,308,39,103,417100,39103417100,3982,600,170,74,8,506,67,14,0,138900,528,2252,56100,103,112,75,71,132,88,116,148,166,240,320,307,167,116,42,49
694,5132,4986,1868,1404,464,39,103,417200,39103417200,3318,223,58,17,10,283,88,6,5,119200,554,1871,47393,61,92,90,160,105,116,102,131,138,192,276,239,92,23,25,29
695,3981,3897,1582,1013,569,39,103,417300,39103417300,2707,224,41,0,8,160,42,5,6,128800,538,1585,42396,102,113,137,142,67,79,95,111,68,169,200,252,23,6,14,7
