,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
107,10.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,87500.0,0.0,61359.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,08,005,005989,08005005989
108,3085.0,2711.0,1356.0,108.0,328.0,632.0,511.0,133.0,208.0,112.0,69400.0,356.0,23203.0,654.0,745.0,95.0,152.0,60.0,64.0,114.0,73.0,102.0,64.0,81.0,54.0,94.0,70.0,32.0,45.0,18.0,31.0,56.0,42.0,50.0,12.0,19.0,15.0,0.0,8.0,5.0,08,005,006000,08005006000
109,2595.0,2412.0,1219.0,114.0,335.0,603.0,438.0,99.0,183.0,62.0,66200.0,346.0,20012.0,595.0,580.0,29.0,158.0,86.0,94.0,109.0,133.0,101.0,48.0,87.0,40.0,64.0,25.0,51.0,31.0,36.0,7.0,10.0,24.0,17.0,14.0,42.0,13.0,0.0,0.0,0.0,08,005,006100,08005006100
110,3058.0,2798.0,1257.0,112.0,283.0,774.0,527.0,163.0,201.0,31.0,71600.0,433.0,28092.0,895.0,357.0,45.0,119.0,81.0,56.0,67.0,43.0,65.0,85.0,45.0,95.0,61.0,94.0,73.0,57.0,78.0,19.0,22.0,6.0,33.0,25.0,42.0,31.0,0.0,0.0,15.0,08,005,006200,08005006200
111,2783.0,2553.0,1169.0,91.0,352.0,731.0,434.0,41.0,184.0,49.0,69200.0,545.0,27948.0,850.0,300.0,28.0,89.0,74.0,52.0,86.0,59.0,69.0,39.0,79.0,53.0,64.0,56.0,92.0,55.0,37.0,37.0,38.0,37.0,44.0,25.0,23.0,33.0,0.0,0.0,0.0,08,005,006300,08005006300
112,2685.0,2400.0,1140.0,82.0,333.0,678.0,370.0,145.0,151.0,116.0,81800.0,376.0,26889.0,651.0,449.0,33.0,117.0,42.0,72.0,86.0,43.0,67.0,76.0,45.0,40.0,22.0,51.0,55.0,76.0,41.0,13.0,32.0,7.0,58.0,52.0,55.0,33.0,24.0,0.0,0.0,08,005,006400,08005006400
113,1143.0,1073.0,762.0,52.0,100.0,314.0,285.0,29.0,79.0,51.0,61800.0,453.0,16032.0,194.0,562.0,117.0,144.0,61.0,33.0,63.0,33.0,38.0,26.0,20.0,22.0,68.0,51.0,0.0,18.0,12.0,6.0,0.0,0.0,5.0,15.0,24.0,6.0,0.0,0.0,0.0,08,005,006501,08005006501
114,3401.0,2980.0,1335.0,44.0,256.0,622.0,630.0,132.0,401.0,96.0,73200.0,463.0,26976.0,775.0,564.0,62.0,76.0,83.0,77.0,47.0,67.0,135.0,62.0,74.0,56.0,69.0,31.0,41.0,89.0,52.0,58.0,0.0,19.0,64.0,16.0,87.0,44.0,5.0,10.0,11.0,08,005,006502,08005006502
115,4446.0,3908.0,2053.0,172.0,414.0,839.0,657.0,211.0,381.0,149.0,73700.0,374.0,21658.0,554.0,1509.0,142.0,184.0,156.0,166.0,129.0,148.0,153.0,111.0,61.0,109.0,111.0,71.0,48.0,53.0,130.0,37.0,60.0,44.0,52.0,14.0,45.0,16.0,13.0,0.0,0.0,08,005,006601,08005006601
116,3552.0,3310.0,1696.0,154.0,248.0,714.0,614.0,140.0,533.0,175.0,87800.0,374.0,22159.0,772.0,983.0,127.0,251.0,98.0,110.0,104.0,63.0,110.0,56.0,79.0,82.0,28.0,20.0,110.0,21.0,17.0,30.0,27.0,11.0,70.0,53.0,142.0,71.0,6.0,0.0,10.0,08,005,006604,08005006604
