,FIPS,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,trtid_base,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,trtid00
35,53033003500,3639.0,3244.0,1766.0,975.0,791.0,53,033,003500,53033003500,2881.0,495.0,281.0,47.0,68.0,569.0,303.0,80.0,12.0,306900.0,737.0,1762.0,56000.0,67.0,68.0,47.0,44.0,91.0,145.0,82.0,156.0,73.0,166.0,192.0,256.0,109.0,101.0,91.0,74.0,53033003500
36,53033003600,4885.999999999995,4071.999999999996,2712.9999999999973,804.9999999999992,1907.9999999999982,53,033,003600,53033003600,3896.999999999996,792.9999999999992,215.99999999999977,153.99999999999986,89.99999999999991,872.9999999999991,283.9999999999997,46.99999999999995,60.999999999999936,306399.9999999997,774.9999999999992,2714.9999999999973,47546.99999999995,233.99999999999977,166.99999999999983,101.9999999999999,147.99999999999986,161.99999999999983,226.99999999999977,86.99999999999991,159.99999999999983,147.99999999999986,249.99999999999974,241.99999999999974,370.9999999999996,227.99999999999977,50.99999999999995,71.99999999999993,65.99999999999993,53033003600
37,53033003800,1980.0,1678.0,794.0,559.0,235.0,53,033,003800,53033003800,1521.0,268.0,132.0,44.0,79.0,269.0,117.0,63.0,38.0,291300.0,898.0,815.0,59432.0,51.0,24.0,7.0,32.0,46.0,54.0,44.0,42.0,31.0,79.0,79.0,132.0,83.0,31.0,44.0,36.0,53033003800
38,53033003900,2670.0,2212.0,1148.0,886.0,262.0,53,033,003900,53033003900,1961.0,360.0,142.0,54.0,74.0,446.0,161.0,25.0,20.0,304700.0,807.0,1156.0,58114.0,35.0,45.0,6.0,58.0,63.0,53.0,64.0,25.0,69.0,203.0,120.0,196.0,97.0,35.0,39.0,48.0,53033003900
39,53033004000,2385.0,1985.0,1161.0,852.0,309.0,53,033,004000,53033004000,1824.0,246.0,92.0,135.0,129.0,331.0,169.0,64.0,58.0,326400.0,803.0,1138.0,54833.0,64.0,14.0,29.0,90.0,69.0,39.0,93.0,87.0,25.0,106.0,80.0,138.0,114.0,52.0,90.0,48.0,53033004000
40,53033004100,7505.0,6383.0,3026.0,2227.0,799.0,53,033,004100,53033004100,5210.0,745.0,468.0,546.0,254.0,1227.0,520.0,221.0,92.0,502800.0,744.0,3038.0,81866.0,108.0,97.0,126.0,103.0,92.0,134.0,72.0,135.0,90.0,230.0,266.0,326.0,269.0,250.0,181.0,559.0,53033004100
41,53033004200,7202.0,6061.0,3132.0,2228.0,904.0,53,033,004200,53033004200,5283.0,851.0,377.0,260.0,284.0,978.0,560.0,133.0,128.0,300700.0,880.0,3131.0,65136.0,91.0,133.0,98.0,65.0,87.0,130.0,187.0,88.0,181.0,348.0,319.0,489.0,407.0,148.0,173.0,187.0,53033004200
42,53033004301,3024.0000000000014,2345.917808219179,1281.6986301369868,396.98630136986316,884.7123287671236,53,033,004301,53033004300,1604.7123287671238,281.58904109589054,177.53424657534254,36.000000000000014,109.97260273972607,349.6438356164385,134.13698630136992,11.835616438356169,61.15068493150687,148931.50684931513,360.98630136986316,1285.6438356164388,15048.986301369869,217.4794520547946,127.72602739726032,96.65753424657538,102.57534246575347,87.28767123287675,67.56164383561647,85.31506849315072,38.46575342465755,19.72602739726028,74.46575342465756,113.42465753424662,121.80821917808224,50.30136986301372,36.000000000000014,30.08219178082193,16.76712328767124,53033004300
43,53033004302,3107.9999999999986,2411.082191780821,1317.3013698630132,408.01369863013684,909.2876712328764,53,033,004302,53033004300,1649.2876712328762,289.41095890410946,182.46575342465746,36.999999999999986,113.02739726027393,359.3561643835615,137.86301369863008,12.164383561643831,62.84931506849313,153068.49315068487,371.01369863013684,1321.3561643835612,15467.013698630131,223.5205479452054,131.27397260273966,99.34246575342462,105.42465753424653,89.71232876712325,69.43835616438353,87.68493150684928,39.53424657534245,20.27397260273972,76.53424657534244,116.57534246575338,125.19178082191776,51.69863013698628,36.999999999999986,30.91780821917807,17.23287671232876,53033004300
44,53033004400,5740.0,4382.0,2482.0,714.0,1768.0,53,033,004400,53033004400,3395.0,640.0,429.0,70.0,197.0,562.0,332.0,98.0,64.0,346400.0,640.0,2471.0,40984.0,279.0,176.0,178.0,149.0,171.0,145.0,106.0,137.0,76.0,158.0,190.0,256.0,179.0,88.0,88.0,95.0,53033004400
