,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
568,4314,3769,1551,1465,86,08,059,012041,08059012041,2860,345,95,11,19,336,120,16,0,181500,1463,1533,71295,19,7,20,18,18,45,64,84,108,178,266,393,187,47,50,29
569,3725,3188,1248,1187,61,08,059,012042,08059012042,2380,371,94,7,8,312,85,0,0,186400,1235,1251,69554,25,12,20,20,32,42,31,24,92,141,249,317,114,68,52,12
570,4886,4264,1664,1512,152,08,059,012043,08059012043,3016,510,186,35,29,429,120,19,0,203000,1187,1664,82646,0,22,7,31,18,25,20,70,89,140,272,481,264,133,80,12
571,3732,3260,1353,862,491,08,059,012044,08059012044,2215,507,118,7,0,352,86,39,0,224300,933,1357,75937,9,26,26,12,39,46,73,57,67,111,194,368,193,81,48,7
572,5215,4573,1803,1669,134,08,059,012045,08059012045,3256,604,278,50,8,427,140,29,0,193600,1131,1799,73988,20,11,23,55,20,49,55,103,111,126,352,320,274,142,80,58
573,2479,2089,841,763,78,08,059,012046,08059012046,1509,180,25,0,0,210,8,0,11,166100,1013,838,67500,8,33,20,48,26,13,27,37,44,129,88,235,83,31,8,8
574,3982,3499,1494,1257,237,08,059,012047,08059012047,2506,299,60,0,0,328,87,15,0,149900,1049,1496,62215,21,14,29,44,68,121,94,35,77,144,379,299,81,41,35,14
575,2262,2067,792,769,23,08,059,012048,08059012048,1488,279,78,30,0,228,47,0,10,212300,1163,783,80798,9,0,15,0,14,34,24,44,18,75,98,206,125,75,31,15
576,3203,2946,1065,1025,40,08,059,012049,08059012049,2082,328,189,15,6,355,126,6,0,204000,1279,1080,79678,15,0,12,0,25,40,30,21,67,139,144,247,163,82,62,33
577,2833,2467,1272,563,709,08,059,012050,08059012050,1994,386,162,62,20,373,142,12,10,384800,977,1261,69792,56,28,30,27,22,61,58,75,48,142,126,181,129,60,104,114
578,3588,3355,1258,1195,63,08,059,012051,08059012051,2487,451,152,33,22,402,122,28,7,233700,1263,1256,76403,15,24,44,27,0,46,24,62,70,137,159,224,229,98,50,47
579,5685,5078,2041,1821,220,08,059,012052,08059012052,3591,571,172,12,5,483,135,39,0,170600,1030,2031,66593,20,26,10,62,59,49,101,111,158,269,306,442,259,94,48,17
580,4052,3651,1423,1324,99,08,059,012053,08059012053,2725,397,83,8,0,327,64,27,0,181900,1262,1406,66563,0,21,34,32,41,68,66,55,46,172,335,229,157,58,76,16
581,4478,4014,1570,1290,280,08,059,012054,08059012054,2771,533,175,92,26,535,226,9,16,257300,936,1572,87519,39,30,30,23,25,23,61,57,23,131,189,310,255,163,118,95
582,3587,3277,1412,1229,183,08,059,012055,08059012055,2440,331,111,45,24,372,144,9,0,216400,818,1409,67040,30,41,28,41,25,82,52,31,65,184,254,185,158,86,134,13
583,7045,6245,2524,2070,454,08,059,012056,08059012056,4411,624,190,41,0,549,95,32,0,173800,984,2523,64411,37,48,43,37,64,114,121,205,99,302,404,590,228,114,54,63
584,4419,3933,1635,1488,147,08,059,012057,08059012057,2950,307,126,23,32,394,114,46,0,174200,814,1638,68966,17,16,30,9,50,116,127,113,77,144,202,401,237,38,29,32
585,3657,3500,1444,1287,157,08,059,012058,08059012058,2610,312,191,32,27,302,143,26,14,249400,855,1439,76353,35,18,47,49,64,28,78,49,38,141,147,357,223,43,79,43
