,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
432,3733.0,3293.0,1279.0,38.0,25.0,319.0,570.0,164.0,928.0,433.0,208000.0,749.0,62848.0,1030.0,183.0,0.0,0.0,15.0,0.0,11.0,27.0,18.0,11.0,32.0,28.0,48.0,19.0,41.0,25.0,19.0,31.0,45.0,55.0,113.0,50.0,215.0,307.0,68.0,52.0,49.0,53,033,024902,53033024902
433,5307.0,4317.0,1706.0,33.0,52.0,264.0,580.0,197.0,1425.0,819.0,271300.0,1001.0,80555.0,1601.0,89.0,10.0,6.0,0.0,0.0,4.0,3.0,21.0,19.0,17.0,7.0,20.0,18.0,33.0,15.0,15.0,43.0,33.0,48.0,31.0,78.0,268.0,516.0,223.0,87.0,191.0,53,033,024903,53033024903
434,3649.0,3306.0,1418.0,6.0,26.0,288.0,623.0,210.0,1059.0,366.0,285700.0,563.0,67169.0,1156.0,214.0,15.0,28.0,22.0,0.0,24.0,8.0,21.0,28.0,22.0,35.0,35.0,20.0,24.0,27.0,44.0,44.0,32.0,28.0,56.0,78.0,217.0,230.0,140.0,76.0,164.0,53,033,025002,53033025002
435,4104.0,3607.0,1412.0,31.0,96.0,467.0,731.0,205.0,1010.0,326.0,172800.0,990.0,60718.0,1302.0,129.0,0.0,11.0,22.0,4.0,10.0,15.0,18.0,14.0,37.0,30.0,48.0,32.0,64.0,47.0,36.0,30.0,49.0,50.0,84.0,85.0,296.0,263.0,86.0,35.0,46.0,53,033,025098,53033025098
436,6479.0,5504.0,2453.0,174.0,506.0,1236.0,1195.0,433.0,547.0,110.0,113800.0,570.0,40562.0,1515.0,970.0,72.0,94.0,22.0,17.0,92.0,62.0,89.0,149.0,63.0,90.0,82.0,122.0,183.0,65.0,109.0,79.0,88.0,48.0,183.0,97.0,358.0,221.0,39.0,18.0,11.0,53,033,025100,53033025100
437,4668.0,4204.0,1917.0,198.0,364.0,1102.0,771.0,285.0,412.0,153.0,106300.0,469.0,37344.0,1278.0,608.0,43.0,164.0,60.0,74.0,62.0,36.0,101.0,83.0,79.0,53.0,50.0,71.0,88.0,82.0,67.0,61.0,58.0,72.0,124.0,124.0,228.0,98.0,32.0,7.0,0.0,53,033,025200,53033025200
438,6096.0,5444.0,2948.0,169.0,626.0,1391.0,1120.0,316.0,635.0,227.0,98700.0,446.0,29352.0,1382.0,1663.0,94.0,298.0,198.0,144.0,104.0,114.0,127.0,123.0,172.0,135.0,154.0,44.0,115.0,119.0,73.0,112.0,112.0,75.0,120.0,88.0,139.0,231.0,11.0,17.0,29.0,53,033,025300,53033025300
439,5437.0,4596.0,2535.0,211.0,545.0,1248.0,804.0,267.0,574.0,52.0,87100.0,465.0,28559.0,1065.0,1467.0,105.0,256.0,90.0,136.0,126.0,191.0,99.0,123.0,111.0,72.0,213.0,77.0,153.0,86.0,51.0,97.0,101.0,53.0,84.0,106.0,157.0,42.0,0.0,0.0,6.0,53,033,025400,53033025400
440,3699.0,3157.0,1676.0,101.0,237.0,923.0,691.0,215.0,267.0,38.0,86300.0,516.0,29335.0,841.0,854.0,25.0,116.0,50.0,85.0,107.0,99.0,102.0,107.0,89.0,79.0,104.0,69.0,111.0,46.0,70.0,53.0,68.0,0.0,104.0,64.0,79.0,33.0,10.0,6.0,0.0,53,033,025500,53033025500
441,6248.0,5696.0,2417.0,95.0,405.0,1411.0,920.0,322.0,671.0,180.0,124900.0,444.0,37917.0,1821.0,579.0,59.0,53.0,72.0,81.0,125.0,78.0,80.0,56.0,77.0,135.0,122.0,101.0,162.0,45.0,111.0,90.0,70.0,76.0,130.0,163.0,269.0,178.0,34.0,18.0,32.0,53,033,025600,53033025600
442,8271.0,6390.0,3543.0,107.0,353.0,1289.0,1377.0,432.0,1470.0,288.0,122800.0,474.0,37800.0,1673.0,1836.0,88.0,197.0,51.0,159.0,84.0,162.0,195.0,158.0,138.0,158.0,182.0,55.0,120.0,204.0,165.0,101.0,71.0,108.0,211.0,203.0,449.0,182.0,79.0,23.0,0.0,53,033,025700,53033025700
443,6475.0,5167.0,2630.0,149.0,365.0,1326.0,1046.0,395.0,804.0,251.0,116800.0,499.0,37045.0,1605.0,1030.0,25.0,109.0,110.0,89.0,89.0,116.0,114.0,117.0,101.0,82.0,94.0,134.0,165.0,69.0,85.0,88.0,69.0,65.0,138.0,147.0,376.0,144.0,94.0,4.0,6.0,53,033,025801,53033025801
444,8491.0,7418.0,3005.0,199.0,620.0,1548.0,1366.0,678.0,695.0,146.0,94000.0,616.0,38698.0,1943.0,1067.0,10.0,88.0,41.0,77.0,71.0,111.0,132.0,100.0,112.0,136.0,269.0,110.0,199.0,97.0,158.0,150.0,119.0,88.0,233.0,184.0,291.0,159.0,41.0,19.0,10.0,53,033,025802,53033025802
445,209.0,159.0,111.0,23.0,15.0,52.0,42.0,0.0,2.0,0.0,37500.0,366.0,14750.0,45.0,42.0,38.0,0.0,13.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,11.0,0.0,0.0,0.0,0.0,53,033,025900,53033025900
446,4912.0,3439.0,1901.0,119.0,328.0,1130.0,921.0,195.0,584.0,208.0,109700.0,525.0,38101.0,1639.0,243.0,18.0,72.0,54.0,61.0,75.0,44.0,98.0,54.0,116.0,80.0,152.0,42.0,66.0,77.0,63.0,38.0,30.0,57.0,107.0,111.0,156.0,209.0,67.0,32.0,22.0,53,033,026001,53033026001
447,5080.0,3317.0,2021.0,202.0,420.0,1065.0,792.0,202.0,626.0,139.0,96100.0,555.0,32446.0,856.0,1117.0,90.0,172.0,57.0,129.0,95.0,62.0,28.0,64.0,88.0,67.0,162.0,74.0,115.0,60.0,66.0,50.0,23.0,111.0,73.0,93.0,213.0,67.0,42.0,0.0,20.0,53,033,026002,53033026002
448,5390.0,3255.0,2142.0,139.0,394.0,1214.0,919.0,227.0,511.0,127.0,91900.0,501.0,30630.0,1388.0,797.0,58.0,147.0,63.0,131.0,120.0,59.0,93.0,110.0,145.0,112.0,131.0,18.0,162.0,32.0,52.0,62.0,117.0,57.0,130.0,60.0,140.0,112.0,24.0,0.0,7.0,53,033,026100,53033026100
