,total_hh,lim_english_spanish_hh,lim_english_indoeuro_hh,lim_english_api_hh,lim_english_other_hh,isolated_hh,prop_isolated_hh,prop_isolated_hh_spanish
264,2958,37,12,11,19,79.0,0.026707234,0.012508452
265,1016,0,0,5,0,5.0,0.00492126,0.0
266,2343,16,12,0,0,28.0,0.011950491,0.006828852
267,2114,21,0,0,25,46.0,0.021759698,0.009933775
268,686,4,0,0,0,4.0,0.005830904,0.005830904
269,2268,0,0,0,0,0.0,0.0,0.0
270,689,0,0,0,0,0.0,0.0,0.0
271,1531,24,0,0,0,24.0,0.015676029,0.015676029
272,3977,0,15,18,0,33.0,0.008297712,0.0
273,989,0,5,7,0,12.0,0.012133468,0.0
274,2449,0,15,0,0,15.0,0.006124949,0.0
275,1288,35,0,0,0,35.0,0.027173912,0.027173912
276,1424,12,0,8,0,20.0,0.014044944,0.008426966
277,2480,0,19,0,0,19.0,0.0076612905,0.0
278,1298,0,0,10,0,10.0,0.00770416,0.0
279,1403,0,0,0,0,0.0,0.0,0.0
280,2303,0,14,26,18,58.0,0.025184542,0.0
281,606,0,0,0,0,0.0,0.0,0.0
282,569,6,0,0,0,6.0,0.010544815,0.010544815
283,2112,0,0,0,0,0.0,0.0,0.0
284,1876,34,0,0,0,34.0,0.018123668,0.018123668
285,2426,11,12,0,0,23.0,0.009480626,0.004534213
286,1826,62,0,0,0,62.0,0.033954,0.033954
287,2143,39,0,16,0,55.0,0.025664955,0.018198786
288,1878,20,0,11,0,31.0,0.016506921,0.010649627
289,3049,76,6,18,0,100.0,0.03279764,0.024926206
290,2220,0,0,0,0,0.0,0.0,0.0
291,1994,38,19,20,0,77.0,0.03861585,0.019057171
292,1727,87,0,0,0,87.0,0.050376374,0.050376374
293,1581,33,8,0,0,41.0,0.025932955,0.020872865
294,1717,91,0,0,0,91.0,0.05299942,0.05299942
295,1473,77,0,9,0,86.0,0.05838425,0.05227427
296,2999,168,15,11,13,207.0,0.069023006,0.056018673
297,2031,109,0,0,0,109.0,0.053668145,0.053668145
298,1664,100,0,0,0,100.0,0.060096152,0.060096152
299,1520,0,0,0,0,0.0,0.0,0.0
300,1190,10,0,0,0,10.0,0.008403362,0.008403362
301,2554,0,0,16,0,16.0,0.006264683,0.0
302,1586,5,0,0,0,5.0,0.0031525851,0.0031525851
303,442,0,0,0,0,0.0,0.0,0.0
304,2637,0,0,0,0,0.0,0.0,0.0
305,2673,0,0,0,0,0.0,0.0,0.0
306,2319,0,0,72,0,72.0,0.031047866,0.0
307,1363,0,0,11,0,11.0,0.008070433,0.0
308,2979,85,0,36,0,121.0,0.040617656,0.028533066
309,1918,36,8,0,0,44.0,0.022940563,0.018769551
310,1069,0,0,5,0,5.0,0.0046772687,0.0
311,1211,0,26,13,0,39.0,0.03220479,0.0
312,1495,55,0,26,0,81.0,0.054180603,0.036789298
313,926,31,0,73,0,104.0,0.11231101,0.03347732
314,849,0,0,0,0,0.0,0.0,0.0
315,1689,13,0,14,32,59.0,0.034931913,0.007696862
316,1367,0,0,0,0,0.0,0.0,0.0
317,2145,0,0,16,0,16.0,0.0074592074,0.0
318,2183,0,0,0,0,0.0,0.0,0.0
319,1230,34,0,0,0,34.0,0.027642276,0.027642276
320,1987,71,0,11,0,82.0,0.041268244,0.035732258
321,2285,0,0,26,0,26.0,0.011378556,0.0
322,2162,0,12,19,0,31.0,0.014338575,0.0
323,2692,0,11,28,0,39.0,0.01448737,0.0
324,2159,8,8,0,0,16.0,0.0074108383,0.0037054191
325,948,0,0,0,0,0.0,0.0,0.0
326,1821,0,8,0,0,8.0,0.0043931906,0.0
327,0,0,0,0,0,0.0,,
328,0,0,0,0,0,0.0,,
329,0,0,0,0,0,0.0,,
330,2231,0,0,10,0,10.0,0.004482295,0.0
331,866,16,0,0,0,16.0,0.01847575,0.01847575
332,1277,0,2,0,0,2.0,0.0015661707,0.0
333,1592,0,12,0,0,12.0,0.0075376886,0.0
334,1602,114,0,0,0,114.0,0.07116105,0.07116105
335,1709,114,0,14,0,128.0,0.0748976,0.066705674
336,2746,142,25,0,0,167.0,0.060815733,0.05171158
337,2088,0,0,0,0,0.0,0.0,0.0
338,2174,16,0,0,0,16.0,0.0073597054,0.0073597054
339,1414,31,23,0,0,54.0,0.038189534,0.02192362
340,2949,72,0,24,0,96.0,0.03255341,0.024415055
341,972,0,0,0,0,0.0,0.0,0.0
342,2770,69,0,17,0,86.0,0.03104693,0.024909748
343,1744,306,0,6,0,312.0,0.17889908,0.17545871
344,1994,80,10,15,0,105.0,0.052657973,0.04012036
345,1891,155,9,56,57,277.0,0.14648335,0.08196721
346,459,22,0,40,13,75.0,0.1633987,0.04793028
347,1795,55,0,17,0,72.0,0.04011142,0.03064067
348,1925,185,0,0,0,185.0,0.0961039,0.0961039
349,1869,225,26,0,0,251.0,0.13429642,0.12038523
350,1235,129,0,0,8,137.0,0.11093117,0.104453444
351,1306,210,0,89,28,327.0,0.25038284,0.16079633
352,978,72,0,5,7,84.0,0.08588957,0.073619634
353,1820,19,0,16,0,35.0,0.01923077,0.010439561
354,1699,80,0,15,0,95.0,0.055915244,0.047086522
355,1426,154,0,0,0,154.0,0.10799439,0.10799439
356,2151,278,20,92,8,398.0,0.18503022,0.12924221
357,1467,118,6,28,0,152.0,0.10361282,0.08043627
358,1625,77,0,0,0,77.0,0.047384616,0.047384616
359,1134,120,0,0,0,120.0,0.105820104,0.105820104
360,4965,175,0,0,0,175.0,0.035246726,0.035246726
361,3946,0,0,190,0,190.0,0.048150025,0.0
362,2512,0,0,18,0,18.0,0.007165605,0.0
363,1700,80,0,0,0,80.0,0.047058824,0.047058824
364,1050,71,0,18,19,108.0,0.10285714,0.06761905
365,39,0,0,0,0,0.0,0.0,0.0
366,1299,0,0,11,0,11.0,0.008468052,0.0
367,2919,84,43,0,0,127.0,0.04350805,0.02877698
368,2235,0,0,0,0,0.0,0.0,0.0
369,891,0,0,8,0,8.0,0.008978676,0.0
370,2107,31,0,0,0,31.0,0.014712862,0.014712862
371,2358,28,75,0,0,103.0,0.043681085,0.01187447
372,1732,8,0,0,0,8.0,0.0046189376,0.0046189376
373,3587,19,7,28,0,54.0,0.015054363,0.0052969055
374,3972,80,30,0,0,110.0,0.027693857,0.020140987
375,3539,15,8,16,0,39.0,0.0110200625,0.0042384854
376,1682,0,0,0,0,0.0,0.0,0.0
377,2716,32,0,0,0,32.0,0.011782032,0.011782032
378,2960,0,14,0,0,14.0,0.0047297296,0.0
379,1679,0,0,0,0,0.0,0.0,0.0
380,1997,0,0,0,0,0.0,0.0,0.0
381,2680,0,29,0,0,29.0,0.010820895,0.0
382,1298,27,0,0,0,27.0,0.020801233,0.020801233
383,1101,0,0,16,0,16.0,0.014532244,0.0
384,2410,0,0,119,0,119.0,0.049377594,0.0
385,792,0,0,0,0,0.0,0.0,0.0
386,1874,14,10,0,11,35.0,0.018676627,0.007470651
387,3255,0,0,0,15,15.0,0.004608295,0.0
388,2083,0,19,0,0,19.0,0.009121459,0.0
389,1341,0,9,0,0,9.0,0.0067114094,0.0
390,1484,0,0,0,0,0.0,0.0,0.0
391,1375,0,0,0,0,0.0,0.0,0.0
392,1976,0,0,0,0,0.0,0.0,0.0
393,1824,269,0,0,0,269.0,0.14747807,0.14747807
394,1744,157,0,0,0,157.0,0.09002294,0.09002294
395,1635,133,0,0,0,133.0,0.081345566,0.081345566
396,1421,24,9,0,0,33.0,0.023223082,0.016889514
397,1831,20,0,0,0,20.0,0.010922993,0.010922993
398,2783,0,0,0,0,0.0,0.0,0.0
399,1626,6,25,0,0,31.0,0.01906519,0.003690037
400,4265,67,43,0,0,110.0,0.025791325,0.015709262
401,2236,0,0,0,0,0.0,0.0,0.0
402,1867,0,0,14,0,14.0,0.007498661,0.0
403,1408,0,0,15,7,22.0,0.015625,0.0
404,2041,0,0,0,0,0.0,0.0,0.0
405,907,0,0,0,0,0.0,0.0,0.0
406,1604,0,20,72,0,92.0,0.057356607,0.0
407,2018,0,0,91,36,127.0,0.062933594,0.0
408,1867,54,12,0,0,66.0,0.03535083,0.028923407
409,1492,119,0,0,0,119.0,0.07975871,0.07975871
410,2204,0,0,0,0,0.0,0.0,0.0
411,1935,10,0,0,0,10.0,0.005167959,0.005167959
412,3599,13,0,0,0,13.0,0.0036121146,0.0036121146
413,3673,10,0,0,0,10.0,0.0027225702,0.0027225702
414,2048,28,0,7,0,35.0,0.017089844,0.013671875
